Item:,Quantity:,Price:,Link:,Total Cost:
Raspberry Pi 4 (Already have it),1,$0,N/A,
Raspberry Pi 4 Camera,1,$23.08,https://a.aliexpress.com/_c3WMvg8r,
PCB,1,$15.78 (Buying myself),,
Raspberry Pi Fan,1,$4.35,https://a.aliexpress.com/_c4KBPFfh,
Standoffs & Screws,1 kit,$10,https://a.aliexpress.com/_c3n6VUOF,
3 Pin Female Header,3,$2.50,3https://a.aliexpress.com/_c3jsRT47,
4 Pin Female Header,2,$2.72,https://a.aliexpress.com/_c3jsRT47,
7 Pin Female Header,1,$3.10,https://a.aliexpress.com/_c3jsRT47,
6 Pin Female Header,2,$2.95,https://a.aliexpress.com/_c3jsRT47,
2 Pin Male Header,1,$1.00,https://a.aliexpress.com/_c3YBvwLN,
1 Pin Header,1,$1,https://a.aliexpress.com/_c3YBvwLN,
330ohm Resistor,1,$1.47,https://a.aliexpress.com/_c44BS1eP,
40Pin SMT Connector,1,$4.77,https://a.aliexpress.com/_c3YsGuH1,
WS2812B LED Strip,1,$6.46,https://a.aliexpress.com/_c3SKBgij,
3.5" DSI LCD,1,$30.94,https://a.aliexpress.com/_c3eojfjv,

,,,,$93.98 (Will pay extra myself)
